parcel_id,district,zone,land_use,parcel_size_sqm,current_status,infrastructure_score,development_potential_score,estimated_value_aed,recommended_use
PRC-0551,Al Maryah Island,Z-IND-02,industrial,25352,reserved,89,75,162130000,cleantech_manufacturing
PRC-0552,Khalifa City,Z-IND-05,industrial,20395,reserved,79,89,53920000,warehousing_hub
PRC-0553,Mohammed Bin Zayed City,Z-MIX-02,mixed_use,15301,developed,66,87,30920000,cultural_mixed_use
PRC-0554,Al Maryah Island,Z-MIX-01,mixed_use,7136,under_development,99,73,40430000,cultural_mixed_use
PRC-0555,Al Khalidiyah,Z-MIX-03,mixed_use,13378,developed,85,47,44730000,waterfront_mixed_use
PRC-0556,Al Reef,Z-IND-01,industrial,19285,developed,65,89,59180000,ev_assembly_facility
PRC-0557,Al Bahia,Z-MIX-04,mixed_use,11832,developed,43,76,27380000,cultural_mixed_use
PRC-0558,Saadiyat Island,Z-CMU-02,community,9542,vacant,85,58,60050000,healthcare_cluster
PRC-0559,Al Reem Island,Z-RES-02,residential,6496,reserved,86,73,43220000,mid_rise_residential
PRC-0560,Al Bateen,Z-RES-01,residential,15420,under_development,94,73,73220000,sustainable_residential
PRC-0561,Zayed City,Z-IND-05,industrial,43291,vacant,72,65,152080000,light_logistics
PRC-0562,Al Reem Island,Z-MIX-03,mixed_use,19592,developed,81,82,102780000,premium_mixed_use
PRC-0563,Mohammed Bin Zayed City,Z-COM-03,commercial,5955,under_development,83,57,14650000,neighborhood_retail
PRC-0564,Al Reem Island,Z-HOS-02,hospitality,13222,developed,86,88,53750000,urban_boutique_hotel
PRC-0565,Al Bahia,Z-HOS-05,hospitality,5890,under_development,65,64,11060000,marina_hotel
PRC-0566,Al Khalidiyah,Z-HOS-02,hospitality,15069,vacant,87,82,97520000,resort_hospitality
PRC-0567,Mohammed Bin Zayed City,Z-RES-02,residential,8400,vacant,66,89,16310000,beachfront_residential
PRC-0568,Al Raha Beach,Z-HOS-04,hospitality,10274,vacant,85,64,49240000,resort_hospitality
PRC-0569,Al Khalidiyah,Z-RES-05,residential,23654,developed,87,72,147500000,beachfront_residential
PRC-0570,Mohammed Bin Zayed City,Z-HOS-04,hospitality,15923,developed,63,77,37420000,urban_boutique_hotel
PRC-0571,Khalifa City,Z-IND-03,industrial,22828,vacant,69,58,69110000,cleantech_manufacturing
PRC-0572,Masdar City,Z-HOS-03,hospitality,14283,developed,94,66,67760000,urban_boutique_hotel
PRC-0573,Mohammed Bin Zayed City,Z-MIX-01,mixed_use,23177,developed,70,43,92920000,waterfront_mixed_use
PRC-0574,Al Reef,Z-MIX-04,mixed_use,7470,vacant,69,84,17010000,cultural_mixed_use
PRC-0575,Saadiyat Island,Z-COM-04,commercial,7071,developed,78,56,49820000,innovation_offices
PRC-0576,Saadiyat Island,Z-HOS-05,hospitality,11642,under_development,84,46,82540000,resort_hospitality
PRC-0577,Al Bateen,Z-COM-03,commercial,5183,under_development,87,90,35680000,financial_offices
PRC-0578,Al Shamkha,Z-COM-02,commercial,3560,reserved,72,70,8990000,financial_offices
PRC-0579,Al Maqta,Z-MIX-04,mixed_use,8477,vacant,76,90,29630000,transit_oriented_development
PRC-0580,Saadiyat Island,Z-RES-05,residential,10685,developed,89,77,70720000,sustainable_residential
PRC-0581,Al Shamkha,Z-RES-02,residential,17357,developed,49,78,33900000,beachfront_residential
PRC-0582,Khalifa City,Z-RES-03,residential,6929,developed,74,73,24510000,high_rise_residential
PRC-0583,Masdar City,Z-IND-04,industrial,13182,vacant,84,42,38270000,cleantech_manufacturing
PRC-0584,Danet Abu Dhabi,Z-COM-04,commercial,4458,vacant,78,75,18080000,financial_offices
PRC-0585,Danet Abu Dhabi,Z-IND-04,industrial,16233,vacant,81,45,46060000,ev_assembly_facility
PRC-0586,Masdar City,Z-COM-05,commercial,4390,vacant,95,74,14870000,neighborhood_retail
PRC-0587,Al Zahiyah,Z-IND-05,industrial,42665,under_development,69,58,152030000,light_logistics
PRC-0588,Zayed City,Z-MIX-05,mixed_use,14438,developed,67,95,35180000,waterfront_mixed_use
PRC-0589,Al Reef,Z-RES-01,residential,25607,reserved,56,84,56320000,affordable_housing
PRC-0590,Khalifa City,Z-HOS-04,hospitality,8485,reserved,77,65,23270000,resort_hospitality
PRC-0591,Yas Island,Z-HOS-02,hospitality,14584,reserved,99,77,79900000,urban_boutique_hotel
PRC-0592,Mohammed Bin Zayed City,Z-COM-03,commercial,5474,developed,74,71,12900000,coworking_offices
PRC-0593,Al Bahia,Z-COM-03,commercial,8572,developed,68,74,25420000,coworking_offices
PRC-0594,Saadiyat Island,Z-MIX-04,mixed_use,6212,under_development,97,69,41390000,marina_mixed_use
PRC-0595,Al Maqta,Z-MIX-02,mixed_use,25744,developed,75,40,92010000,transit_oriented_development
PRC-0596,Al Maryah Island,Z-MIX-05,mixed_use,23413,under_development,90,66,213630000,premium_mixed_use
PRC-0597,Corniche,Z-COM-03,commercial,9218,vacant,91,63,54550000,coworking_offices
PRC-0598,Al Shamkha,Z-RES-02,residential,25171,developed,61,68,49680000,mid_rise_residential
PRC-0599,Al Bateen,Z-MIX-03,mixed_use,6978,developed,91,79,46110000,premium_mixed_use
PRC-0600,Mohammed Bin Zayed City,Z-MIX-04,mixed_use,23831,under_development,78,67,49510000,cultural_mixed_use
